facility_id,customer_id,distance_sdu,unit_cost_usd_per_unit,provenance
FAC_NE,ZONE_01,72.1110,230.76,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_02,58.8558,188.34,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_03,45.3982,145.27,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_04,77.3886,247.64,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_05,71.5052,228.82,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_06,70.4911,225.57,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_07,39.4081,126.11,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_08,18.9737,60.72,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_09,10.1980,32.63,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_10,17.0294,54.49,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_11,46.2709,148.07,DERIVED_SCENARIO_VALUE
FAC_NE,ZONE_12,67.0820,214.66,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_01,95.2680,304.86,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_02,89.1964,285.43,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_03,68.6222,219.59,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_04,75.5844,241.87,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_05,55.5788,177.85,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_06,39.2046,125.45,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_07,47.3814,151.62,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_08,53.8516,172.33,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_09,66.1211,211.59,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_10,43.9318,140.58,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_11,12.2066,39.06,DERIVED_SCENARIO_VALUE
FAC_SE,ZONE_12,14.1421,45.25,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_01,70.6824,226.18,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_02,61.6117,197.16,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_03,42.0595,134.59,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_04,62.3939,199.66,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_05,50.0899,160.29,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_06,44.6878,143.00,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_07,24.1868,77.40,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_08,22.3607,71.55,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_09,36.4966,116.79,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_10,23.0217,73.67,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_11,20.2237,64.72,DERIVED_SCENARIO_VALUE
FAC_EC,ZONE_12,44.7214,143.11,DERIVED_SCENARIO_VALUE
